,description,title,revised_salary,rel_title,ranking,category,salary_level,state,city
3527,"We currently have an exciting opportunity for a Senior Business Analyst - eCommerce OPerations that will provide commercial support to the GM – eCommerce Operations and Logistics, Instore Operations and Logistics teams through the analysis of current business performance, and identifying future business opportunities to drive improved EBIT performance for the Ecommerce business.
In this role, you will
Be a Key Finance Business Partner to GM – eCommerce Operations and Logistics, In-store Operations and Logistics teams
Provide detailed commercial insight and business support via value-add analytics to improve business performance of the Ecommerce business, with a focus on optimising store labour, logistics costs and CFC performance
Responsible for all weekly and monthly forecasts across CODB lines. Liaise with all relevant Stakeholders to ensure all risks and opportunities are known and forecast is accurate and completed on a timely basis.
Be the key finance support in the development of business cases, preparation of post review analysis and benefits tracking. Provide recommendations and insight on results.
Review and challenge monthly results with business partners and build commercial acumen through the provision of your insights and knowledge of accounting and financial principles.
Maintain financial integrity of all reports to our key customers.
Mentor and coach the Graduate/Business Analyst in completion of key activities
Lead the capital and P&L Budgeting process across eCommerce Operations. Drive the successful delivery of a customer aligned online sales, wage and delivery cost budget by site and State, on time and in full
Assist in the preparation of any necessary management and board presentations.
Maintain financial oversight of overhead costs, and financial control processes related to operations and logistics as needed.
Partner across Finance teams (both within Woolies X and the broader Food Group Finance teams) to ensure financial implications of in store initiatives (e.g. Drive, Express) are understood and incorporated within other area forecasts. Ensure risks and opportunities to the overall EBIT result are understood and clearly communicated.
Improve team ways of working by introducing innovative analysis, systems efficiencies, improving processes and providing constructive challenge to all areas

About You
CA / CPA Qualification required
5+ yeas commercial experience, ideally in an FMCG / Retail environment and preferably in an operations capacity
Strong data analysis and modelling skills to analyse and summarise high volumes of data.
Strong communication, presentation and storyboarding skills
Ensure the approach and output is simple, structured, accurate and robust
Previous experience in budgeting, reporting and analysis
Able to communicate complex financial information to a broad audience; able to make the complex simple
Prioritise team efforts to support business requirements
Advanced systems experience e.g. Microsoft Office applications (inc. Excel, Powerpoint), TM1, SAP

What we offer
A career with Woolworths will both challenge and reward you, providing growth opportunities and the prospects to advance your career. You will have exposure to highly skilled people and access to a host of staff benefits including:
Attractive Remuneration Package - including base salary, super and incentive scheme.
Added Benefits - Including staff discount, free parking, corporate healthcare options
Training and Education - We pride ourselves in helping you realise your potential.
An exciting career - As our business grows, so do the opportunities for our people
Flexibility and Autonomy

About Us
Woolworths is a proud, home grown Australian business and employer of more than 205,000 team members. Our commitment to our team members is to create compelling reasons for them to choose Woolworths as the best place to work and grow. There has never been a more exciting time to join us as we keep innovating and shaping the future of retail.
We value diversity and aim to create a vibrant, flexible and inclusive team and culture which reflects the communities we serve.
Want to connect? Connect with me on LinkedIn (Brett Beauchamp) We’re also social! - connect with us at #WOWcareers through LinkedIn #LI, Facebook, Instagram or via www.wowcareers.com.au",Senior Business Analyst - eCommerce Operations,145000.0,Business Analyst,Senior,Business AnalystSenior,high,WA,  New South 
3535,"About your new role
I am currently recruiting for a Federal Government Agency for multiple APS5/6 Data Analysts, so if your contract is coming to an end or you are after change, please get in touch with me.
What do you need to be successful?
Highly proficient in SAS or other databases;
Experience in delivering outcomes on tight deadlines;
A high level of professionalism and interpersonal skills;
Experience in dealing with large sets of data;
Presenting data outcomes to external stakeholders.
What’s in for you?
Free Onsite Parking
Attractive hourly rate
If you're interested in the above opportunity please hit “Apply” now using the appropriate link or get in touch with Andrea on 6132 3816. Alternatively, should you be interested in any other roles Randstad may have available, please visit our website https://www.randstad.com.au/
At Randstad, we are passionate about providing equal employment opportunities and embracing diversity to the benefit of all. We actively encourage applications from any background.",aps5/6 data analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,ACT,  Canberra 
3537,"Master Data Analyst with security system experience to join our clients defence team

? Security Assets/ Systems ? ASAP start, Melbourne CBD based ? 3-month contract with view to extend
Our client, a leader in design, funding, construction, operation, and maintenance of major projects and infrastructure assets across diverse industries, is looking for an experienced Master Data Analyst with security system experience to join their defence team. Reporting to the Asset Planning Strategist you will be required to analyse assets and systems using MS Excel and SAP PM; including alarm systems, CCTV footage, security systems, sensors and other instrumentation.

Key responsibilities include:
? Establish a common criterion and set of rules to migrate different customer's / vendor's data bases into SAP PM ? Master data administration and reporting using MS Excel ? Master data cleansing ? Work closely with the Planning, Cost and Procurement teams

To be successful in this role you will require:
? Security assets/security systems background or some exposure to it is paramount ? 2-3 years of experience in a similar role ? Advanced MS Excel skills (VLOOKUP & Filters) ? SAP PM experience or other CMMS experience would be highly desirable, yet not essential ? A Procurement or Planning background is highly advantageous ? Be comfortable in dealing with high volumes of data ? Have strong communication skills including a high level of literacy and numeracy ? Have demonstrated teamwork, interpersonal and leadership skills
This is a 3-month contract role with view to extend for the right person with an appetite to branch into planning/costing. If you have the relevant experience and can start almost immediately please apply today via this advert and/or contact Gypsy Ponce direct 03 8378 7600 for a confidential conversation.",Master Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,VIC,  Melbourne 
3538,"November Start
Contract until end of financial year+ possible extensions
Adelaide Location

About the company
Karlka Recruiting Group has partnered with a Federal Government Agency to engage a Business Analyst - Intermediate. This position is located in their busy Adelaide office with an initial contract until the end of the financial year with possible extensions.

About the Role
As a Business Analyst you will use business analysis and communication skills to develop requirements, analysis, process and system documentation to support delivery of a number of data and analytics initiatives. This may include activities relating to data on-boarding and exchange, development of risk an assurance models, delivery of business reinvention initiatives and business decision making support tools.

Requirements/Skills
Similar experience within a government environment
Outstanding communication skills
Experience in delivering Data and Analytics solutions
Demonstrated experience in delivering artefacts to support the development of successful client centered solutions
Demonstrated experience in end to end system testing, developing test cases, involving users and documenting outcomes (Desirable)
Must be eligible for a Baseline Security Clearance (Australian Citizen, No Criminal Record)

How to Apply
Click APPLY now or email Sang on recruitment@karlkarecruiting.com.au for a confidential discussion.",Business Analyst - Intermediate,105000.0,Business Analyst,Normal,Business AnalystNormal,med,SA,  Adelaide 
3539,"2+ years of Master Data experience required
Easy drive to work!
SAP experience essential
Come join this nationally recognised company who’s products you will be all too familiar with! As Master Data Analyst, you are expected to work closely with Business Process Experts to ensure data quality, compliance and operating procedures are adhered to with relation to Master Data management. Additionally, this position will support by monitoring and analysing master data, key data, and master relationship data within the organization. Previous knowledge of SAP master data management level is required.

Responsibilities:

Ensure master data integrity in key systems as well as maintaining the processes to support the data quality.
Identify areas for data quality improvements and help to resolve data quality problems
Ensure the high quality of master data in key systems as well as the development and documentation of processes with other functional data owners
In collaboration with subject matter experts and data owners, define and implement data strategy, policies, controls, and programs to ensure the enterprise data is accurate, complete, secure, and reliable
Aid in resolving data quality problems through the appropriate choice of error detection and correction, process control and improvement, or process design strategies collaborating with subject matter experts and data owners
Manage, analyse, and resolve data issues and manage revisions needed to best meet internal and customer requirements while adhering to data standards
Work closely with the business to ensure alignment of master data rules
Assist in the creation and implementation of data standards and guidelines on data ownership, coding structures, and data replication to ensure access to and integrity of data
Conduct data cleaning to rid old, unused data, or duplicate data for better management and quicker access
Help drive best practice data management across the business


To be successful you will need:

Relevant tertiary qualifications
Intermediate to advanced Excel skills
At least 2 years SAP Master Data Management/Maintenance Skills
Demonstrated understanding of data analysis/validation techniques
Demonstrated ability to create supporting documentation
Excellent communications skills – both verbal and written.
Ability to decompose and translate complex functional situations to various audiences",SAP Master Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,VIC,  Melbourne 
3550,"Here is an amazing opportunity to shape a company's analytical capabilities while working in a cool start-up environment. My client is a digital marketplace with a global reach, headquartered here in Melbourne. Renowned for it's award winning culture this is unique opportunity to help shape the analytic team and influence the analytics strategy across the globe.
As a Data Scientist / Analytics Specialist you will work with stakeholders across the business to help them identify data trends and provide actionable insights to better understand and predict customer behaviour. You will support the business goals through churn prevention, optimising customer reach and finding root cause for customer trends.
The right candidate will have experience analysing large and complex data sets, and creating actionable insights from them. You will be responsible for creating and productionising models to drive customer retention and revenue growth.
Qualifications:
5 years experience in digital analytics and advanced analytics roles
Undergraduate degree in relevant technology or computer engineering field
Expert in SQL and R
Experience with data mining, data modelling and machine learning
Experience with online data and big data
For more information or a confidential conversation please contact Tessa Gould at Tessa.Gould[at]Ambition[dot]com[dot]au.",Analytics Specialist / Data Scientist,125000.0,Data Scientist,Normal,Data ScientistNormal,med,VIC,  Southbank 
3558,"Job Location : Australia Job Type : Permanent/Contract
Details of the Client:
Global IT Major primarily strong in banking and financial domain

Candidate Skills Required:
Primary Skills

1. Worked as Business Analyst/Tech Analyst in financial domains

2. Must have experience working in domains like insurance (general insurance, personal insurance), banking, customer marketing etc.

3. Must be able to drive team from business perspective

4. Must be able to develop Agile as way of working for the group along with Iteration Manager

5. Must have excellent communication skills

Secondary Skills

1. Project Management

2. Program Management

3. People Management
Job responsibilities include:
1. Work as Business Analyst for a large financial organizationon on behalf of tha client
2. Work with core solution group of the client to showcase BA to client
3. Do a deep dive of DWH/BI solutions for client
4. Create, suggest, modify large DWH/BI Solutions,by utilising strong business knowledge
5. Work on different client initiatives which are business critical and have strategic importance to client
6. Work with Senior developers, data modelers, data analysts and IMs of client
7. Work with onshore/ offshore delivery teams and enable them to be successful
Apply to this Email id : contactus@poweritconsultancy.com",Technical Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,  
3559,"9 month contract (option to extend)
CBD Fringe
Multiple roles
Join this Queensland Government agency as an experienced Business Analyst to assist them to lead, manage and undertake the identification, analysis and documentation of current state and future state business processes and requirements, including business process modelling, within a large and complex Information Management / Information Communication and Technology (ICT) environment, to ensure the delivery of valued integrated and effective business solutions to program/projects.

Key Responsibilities

Identify opportunities and promote ways to improve productivity and build business value through effective use of ICT;
Lead and manage business analysis activities within a large ICT program/projects environment;
Assess the efficiency and effectiveness of existing business operations and workflow to establish a base for developing improved structures, processes and systems;
Lead the development, implementation and continuous improvement of the business analysis framework in the agency's ICT;
Provide strategic and operational advice regarding program/project direction for business analysis activities including business process modelling, requirements elicitation, data modelling, use case development;
Lead and ensure requirements gathering, modelling and stakeholder management activities comply with approved standards, methods, tools and notation;
Lead the development of business and software requirements specifications for IM/ICT projects, ensuring traceability of requirements throughout the project lifecycle;
Provide a support and mentoring role for other business analysts within the program/project(s); and
Initiate, influence and maintain relationships with and between internal and external stakeholders, facilitates effective communications and fosters relationships across program/projects.
You will be assessed on your ability to demonstrate the following key capabilities, knowledge and experience. Within the context of the responsibilities described above under Key Accountabilities, the ideal applicant will be someone who can demonstrate the following:

Demonstrated experience leading and managing business analysis activities on large scale complex IM/ICT program/projects. (SFIA Skill: BUAN; Level 5);
Demonstrated experience leading business process and system modelling activities for large scale complex organisations, preferably using Business Process Modelling Notation (BPMN) or Use Case development utilising UML. (SFIA Skill: BSMO: Level 5);
Knowledge in, and an ability to provide sound advice and recommendations on, the application of appropriate business analysis techniques, methodologies and tools, preferably aligned with Business Analysis Body of Knowledge Version 3.0 (BABOK). (SFIA Skill: METL: Level 5);
Proven high level negotiation, consultation facilitation and effective written and oral communications skills for use in a complex program/project environment. (NHS: Effective and strategic influencing); and
Demonstrated ability to lead, manage and mentor a multi-disciplinary project team. (NHS: Collaborative working).
These roles close to market Friday 26th October 2018. Apply now to ensure consideration.

Graham Eather - 07 3232 2300",Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,QLD,  Brisbane 
3560,"The Company

Robert Half Technology are working alongside a well reputable and established Insurance organisation in the CBD and we are currently looking for a talented Data Scientist to join our team on a permanent basis. Our client continue to grow across all areas of the business and this role has been created due to the expansion of the division. This role represents an exciting challenge and career opportunity for a Data Scientist to join our forward thinking client.

The Role

The Role of the Data Scientist will have the opportunity to make their mark using data led decision making and modelling to catalyse industry disuption. Aspects of the role include:

Proportion your role with Modelling, Research, Analysism Data Manipulation and Collaboration.

Work as a data expert and a quantitative researcher.

Translate unstructured, complex business problems into practical, powerful algorithmic solutions.

Be part of a highly innovative team working on interesting and difficult problems, leveraging cutting edge technology to build key data products.

Uncover fresh insights from disparate data sources and data mining

Spearheading machine learning projects on data that has never been touched by the organization.

About You

This is a hands-on position where you will be empowered to be very ambitious and bold, to solve challenging problems and have the potential to directly impact the future of the business. The role requires that you have experience in machine learning and data mining.

Your experience and skills should include most, if not all:
Ability to communicate complex quantitative analysis in a clear, precise and actionable manner

Practical experience using contemporary machine learning frameworks such as, scikit-learn, pytorch and tensorflow.

A proven track record in developing, innovating, and applying advanced algorithms to address practical problems and in building new analytical products of commercial value.

Experience in Python and/or R.

Experience in relational databases and SQL

Apply Today

Please send your resume by clicking on the apply button or for further information, contact our Melbourne office.",Data Scientist - Market Leader - CBD,110000.0,Data Scientist,Normal,Data ScientistNormal,med,VIC,  Melbourne 
3563,"Join one of Melbourne's iconic institutions
Expand your skill set across a variety of projects
An opportunity to deliver high-quality best-fit solutions
An iconic establishment is currently seeking a Senior Data Scientist for a permanent opportunity to be a part of an exciting new team to build business relationships and provide high-quality best-fit solutions.
Having solid statistical modelling building skills, you will experience an exciting mix of creativity and innovation, within a framework of challenging objectives and a passion for delivering the best.

This role will suit an individual who enjoys tackling new projects to support business planning and decision making through the use of qualitative and quantitative analyses, based on customer and operational data.
Key Responsibilities:
Develop and implement statistical modells based on business requirements
Prepare and present insights and reports to key stakeholders
Provide recommendations across multiple aspects such as source of data and methods used
Extract and transform data for use of analysis, visualisations and statistical modelling
Be an active participant in knowledge sharing with a wide range of stakeholders
Skills Required:
Tertiary Qualification/Ph.D. in a quantitative discipline - mathematics, statistics, operation research (additional qualifications will be highly regarded)
Strong probem-solving, organizing and coordinating skills
Strong communication skills (verbally and written) is essential
Advanced skills SQL
Must have R and/or Python programming skills
Capable of managing multiple projects under pressure and meeting deadlines
Ability to interact proactively with internal and external customers
An inquisitive mind, passionate about deriving insights from data
This opportunity will allow the successful applicant to build strong relationships with internal and external teams, playing an integral role influencing business strategies, delivering customer and operational insights and knowledge through statistical modelling and data analysis.

To discuss the role more in detail, please call Corrin on 03 8330 5003.

IMPORTANT: By submitting your email address and any other personal information when you APPLY to a job, you consent to such information being collected, held, used and disclosed in accordance with our COLLECTIONS NOTICE and PRIVACY POLICY.

http://www.bluefinresources.com.au/privacy-policy",Senior Data Scientist,135000.0,Data Scientist,Senior,Data ScientistSenior,high,VIC,  Melbourne 
3569,"Our client, a large government department based in the Central Coast, requires a Business Analyst with significant software testing experience in end-user computing technologies and ERP applications to fill a skills gap within the Project Services team.
The Business Analyst team within Project Services leads the review and analysis of the organisation's business intentions, services, processes and information needs to identify changes that lead to business improvements.
The role will report to a Senior Business Analyst and will be responsible for structuring and managing all Business Testing, to validate that systems meet the needs of the users as defined in the Business Requirements.

The Business Analyst (Testing) will contribute to a mix of complex projects across the IM&T portfolio ranging from Windows 10 and Microsoft 365 deployments, Data Centre transformations and new software/technology implementations.

Essential Experience:
At least 5 years' experience testing web-based applications.
Demonstrated understanding of test management tools such as JIRA or similar.
Superior understanding and experience in managing testing lifecycles and defect management practices.
Established analytical skills with a creative problem-solving approach and the ability to be able to quickly see the big picture.
Superior ability to understand and deconstruct complex business processes to determine a desired and efficient outcome.
Strong relationship development skills and ability to build a strong, collaborative relationship with the Program, Project and 3rd Party teams.
Demonstrated experience in applying proven written and verbal communication, analytical and problem-solving skills to ensure that deliverables meet specifications.
Experience in development of Testing frameworks and standards in a complex environment is desirable.
Qualifications:
Degree qualifications in Information Technology, Business or related field OR demonstrated solid contemporary experience in a Business or Test Analyst role, combined with ongoing professional development.
Formal Business Analyst Qualifications or Certifications (e.g. Lean Six Sigma, BABOK) is desirable.
Formal Test Management Qualifications or Certifications (e.g. ISTQB) is desirable.

If you would be interested in this role please submit your cover letter & CV in Word format only by clicking the ""APPLY NOW"" button below or deqa.omer@talentinternational.com",Business Analyst ( Testing ),105000.0,Business Analyst,Normal,Business AnalystNormal,med,WA,  New South 
3579,"Prime Melbourne CBD Location
Global Software Organisation
About the role

Due to an upcoming piece of work involving a migration with a huge amount of data, we’re looking for a Lead Technical BA to join our team for a 12 month contract. You will be joining us in the early stages of the project to initially help by gathering requirements and scoping out the necessary paths we need to follow. You will also be helping to build a team of Technical BA’s, Developers and Testers which will report to you.

What you’ll be doing:

Gathering requirements, scoping work, and documenting everything, creating both technical and functional specifications.
Undertaking data gathering and analysis to inform a data dictionary for a data migration.
Process mapping and gap analysis.
Coaching, leading, developing and motivating your team to create a passionate can-do culture.
Communicating, debating, drawing, sketching, explaining and compromising to arrive at the best solution with technical and non-technical people.
About You
We are looking for you to have strong experience working with:

Experience with successful delivery of migration / data transformation projects (ideally).
Experience in, and more importantly, a passion for the Agile/LEAN methodology and an understanding of relevant development technologies, processes and products.
Experience drawing requirements out of people and being able to establish what's needed as opposed to 'nice to have'.
Experience in leading a team to a common goal.
Demonstrated problem solving skills and ability to influence change.
You are passionate about technology and keep up to date with the latest trends.
Excellent communication and stakeholder management skills.
About Us

Nintex is an easy, point-and-click workflow automation software to tackle everything from basic business functions to company-wide processes with a few clicks – not code – helping our customers improve how they work. We build software and cloud-based services that provide powerful, yet easy-to-use capabilities to automate a wide range of processes. With the Nintex Workflow Platform, people are empowered to define the way they want to work. We’re growing rapidly. We’re a leader in our category. We’re an employer of choice.

Our Melbourne office is our largest engineering hub. We are in a handy Melbourne CBD location, with tram stops on our doorstep and Southern Cross just over the road! Our 15th floor state of the art office space is fully equipped with everything you need to achieve your best including, large fully equipped workstations, chill out spaces, a stand up desk area, and a fully equipped kitchen complete with pool table and Xbox.",Lead Technical Business Analyst - 12 Month Contract,105000.0,Business Analyst,Normal,Business AnalystNormal,med,VIC,  Melbourne 
3581,"Senior Business Analyst / Regulatory Reporting (S48)
Data Transformation project, Sydney CBD
3 Month Contract plus Extensions

FinXL IT Professional Services is an established, innovative Australian company, providing technology enabled business solutions and consulting services across a number of industries. These include; Government, Telecommunications, Commercial and Finance. We currently have more than 850 consultants assisting our clients across Australia and are continuing to grow at a rapid pace. Through the delivery of services and implementation of new systems, processes and technology, we assist our clients to gain competitive advantage and reach new heights.

Our client is undertaking a multi-year data transformation program that will transform how they collect, store, analyse, distribute and explore data.

This is a 3 month contract for a Business Analyst with a strong reporting standards focus to join a large Data Transformation program or works
Major challenges for this role are:

To ensure the new data collection solution and taxonomy are fit for purpose and meets the needs of both the business and its stakeholders
Understanding, interpretation and application of reporting standards
Key Tasks

Engaging with stakeholders to maximise understanding of entities’ needs, challenges and opportunities
Understanding, interpretation and application of reporting standards (ideally APRA or ASIC or AUSTRAC) from an entity perspective
Analysis and delivery of business/functional requirements in the context of the new data collection solution
Building and maintaining effective relationships with Business Stakeholders, including policy development, legal, frontline supervisors, risk specialists and technology
Required Experience

8+ years experience as a Business Analyst
2+ years experience working with regulatory / reporting standards and demonstrable experience in translating into clear requirements
Strong business analysis skills including requirements gathering and definition, analysis, business process mapping (as-is / to-be), impact analysis, running workshops etc.
Excellent communication, reporting-writing and presentation skills with strong stakeholder focus
Experience working on large enterprise projects
Experience with APRA, ASIC or AUSTRAC reporting standards is highly desirable
Got ALL of the above skills and looking to fast-track your application? Call Matt Franke on (02) 82436808",Senior Business Analyst - Data / Regulatory Reporting,145000.0,Business Analyst,Senior,Business AnalystSenior,high,NSW,  Sydney 
3587,"We have a great new position for a Senior BA who has a strong track record in leveraging data and analytics to help achieve significant business improvement.

Our client is highly regarded not-for-profit looking to take their organisation to the next level.

As part of a new Data, BI and Analytics Roadmap they have created this critical new position to help drive the further adoption of Data, Analytics and related reporting.

Essential skills and experience includes:
Serve as a liaison between the business and Actuarial and Analytics to provide technical solutions to meet business needs
Provide support in the development of data governance framework and practice in the organisation
Drive the implementation of data governance for data warehouse and the BI platform
Drive standardisation of process and process improvement within Actuarial and Analytics
Establish Actuarial and Analytics team business engagement model, including standardised approach for gathering requirements, demand management and prioritisation framework
Promote the benefit of analytics to the business units and educate the business units to the possibilities around the use of data and analytics to drive business outcomes
Working as the sole BA in a team of 8-10 BI, Data & Actuarial Analysts, this position requires a highly collaborative and engaging professional who has a passion for Data Analytics and the business benefits it can provide.

In addition to very good remuneration package, this position offers a great opportunity to make a real difference to a mid-size not for profit organisation.

It also offers a highly collaborative and supportive work culture underpinned by family-like values and a strong desire to provide service excellence to the community it serves.

If you are an excellent fit to the above criteria then please APPLY NOW!

Please include a covering letter confirming your fit to the position by self rating your experience out of 10 for each of the dot points above. We appreciate you taking the time and look forward to your application.",Senior Business Analyst / Project Lead - Data Analytics & Reporting,130000.0,Business Analyst,Senior,Business AnalystSenior,high,VIC,  Melbourne 
3588,"Our client is an iconic Australian business whose brands and products are found in households across the country. They foster and drive a high-performance culture and are able to attract and retain the best candidates in the marketplace. Currently embarking on an exciting period of growth and transformation, they are now looking to add a top-tier analyst to the team.

Reporting to the FP&A Manager and partnering closely with Category and Customer Teams, you will play an integral part in driving price value creation for the business and their customers.

More specifically, your key responsibilities will include:

Utilise multiple data sources and provide commercial insights and value-add advice on promotional effectiveness
Assist with designing guidelines and rolling out an organisational framework for promotions
Partner with Category Insights and Customer Teams to understand trends and market dynamics to drive category growth through pricing
Developing and implementing pricing & promotions strategy to ensure optimisation
Review and analysis of trade spend management
Developing category focussed reports that are closely aligned to business performance outcomes
Continually identifying areas for process optimisation and executing them accordingly


To succeed in this role, you will have extensive pricing, sales category and/or commercial experience within complex retail or FMCG environments. You will possess strong stakeholder management skills and will be a proven business partner who is able to build strong cross-functional relationships. You will be comfortable developing financial and pricing models and will an in-depth understanding of current pricing trends.

This is an outstanding opportunity for a dynamic and high calibre candidate to become part of this FMCG icon as they continue to grow and expand. You will be joining an industry leader with a strong culture and top-tier leadership team.

To apply online, please click on the appropriate link below. Alternatively, for a confidential discussion, please contact Jonathon Prince on 0411356201",Senior Business Analyst - Pricing,145000.0,Business Analyst,Senior,Business AnalystSenior,high,VIC,  Heatherton 
3607,"Company Overview

Our client is an iconic Australian financial service organisation. They are embarking on a major transformation work to upgrade their internal systems. This is one of the few key projects as part of this transformation.

Role Overview

These are newly created role that has become available as part of a complex project that is currently underway. This role will ideally fit a switched-on individual with a good understanding of Data and GDW solutions from a banking perspective. The ideal candidate would have strong Technical skills in BI/DW, integration, Business Analysts and software development life cycle.

In this role you will be working very closely with some of the senior business leaders within the business and act as the bridge with the IT development team.

Skills & Experience
5+ years Technical Business Analysis Experience in Data Integration, GDW
Solid experience working core platforms or in a large environment
Experience working in BI/DW projects with strong understanding of Data flows/ETL
Proven skills in complex data mapping, validation and analysis
Experience building solutions and supporting business case development
Ability to generate and manage test plans, test cases, and validate requirements
Agile experience
Relevant education qualifications in IT or equivalent skills gained through training and experience
Ability to think analytically and solve complex data problems
Proven communication skills and the ability to engage Stakeholders and elicit key requirements
What’s on Offer

This is a highly sought-after position within a greenfield project in an iconic Australian Financial Services organisation.

How to Apply:

If you believe that you meet the selection criteria and that this is the right role for you, then please APPLY NOW!

For a confidential discussion about the role please reach out to Brad Ragothaman on 02 9240 6382 or email brad.ragothaman@profusiongroup.com",Technical Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,  Sydney 
3612,"We are seeking a Technical Business Analyst for a long term contract to lead data remediation activities.

The role aims to identify, and manage the closure of data integrity issues.
You will develop a framework for the definition, governance, quality, integrity, and maintenance of data artifacts that aligns to my client's data quality approach.
This will require detailed work with key stakeholders to help define their data quality requirements, business rules, data quality rules, exception reporting, and treatments for identified data integrity issues.


To be considered, you must demonstrate the following demonstrated:

Strong analytical skills with the ability work with multiple large data sets.
Demonstrated knowledge of techniques and experience in leading data integrity remediation activities within a moderately complex business environment.
Demonstrated knowledge and experience planning, defining and documenting approaches to the analysis and remediation of data integrity issues.
Strong to advanced Excel skills for data manipulation and preparation for import.
A knowledge of SQL databases and the ability to define queries would be advantageous.
Demonstrated experience in representing the customer when dealing with third party suppliers in relation to the delivery of system improvements and fixes to address data quality issues.
Highly developed interpersonal, written and oral communication skills as demonstrated by experience in communicating with and presenting information to both business and information technology stakeholders.
Demonstrated ability to work in a team environment with limited direction, and deliver high quality results within required timeframes in a complex, sometimes ambiguous and dynamic environment.
Reference: M33",Technical Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,VIC,  Melbourne 
